,file,files_cc
772,testcase_0131_properties.json,0
773,testcase_0132_properties.json,0
774,testcase_0133_properties.json,0
775,testcase_4001_properties.json,0
776,testcase_4002_properties.json,0
777,testcase_4003_properties.json,0
778,testcase_4004_properties.json,0
779,testcase_4005_properties.json,0
780,testcase_4006_properties.json,0
781,testcase_4007_properties.json,0
782,testcase_4008_properties.json,0
783,testcase_4011_properties.json,0
784,testcase_4012_properties.json,0
785,testcase_4013_properties.json,0
786,testcase_4014_properties.json,0
787,testcase_4015_properties.json,0
788,testcase_4016_properties.json,0
789,testcase_4017_properties.json,0
790,testcase_4018_properties.json,0
791,metrics-annotation-3.0.0-c0c8be71.jar,0
792,metrics-core-3.0.0-c0c8be71.jar,0
793,KeyedMessage.scala,0
794,testcase_9051_properties.json,0
795,ControllerMovedException.scala,0
796,InvalidClientIdException.scala,0
797,ConsumerTopicStats.scala,0
798,ClientIdAndTopic.scala,0
799,ClientIdTest.scala,0
800,TopicExistsException.scala,0
801,MockScheduler.scala,25
802,SchedulerTest.scala,10
803,kafka-server-stop.bat,0
804,zookeeper-server-stop.bat,0
805,build.sbt,0
806,apache-rat-0.8.jar,0
807,Build.scala,0
808,plugins.sbt,0
809,Crc32.java,0
810,TestCrcPerformance.scala,0
811,ClientIdAndBroker.scala,2
812,Config.scala,0
813,FetchRequestAndResponseStats.scala,0
814,ProducerRequestStats.scala,0
815,ProducerStats.scala,0
816,ProducerTopicStats.scala,0
817,ConfigTest.scala,0
818,ApiUtilsTest.scala,4
819,OffsetCommitRequest.scala,0
820,OffsetCommitResponse.scala,0
821,OffsetFetchRequest.scala,0
822,OffsetFetchResponse.scala,0
823,OffsetMetadataAndError.scala,0
824,OffsetMetadataTooLargeException.scala,0
825,OffsetCommitTest.scala,0
826,StressTestLog.scala,18
827,testcase_0011_properties.json,0
828,testcase_0024_properties.json,0
829,testcase_0119_properties.json,0
830,testcase_0128_properties.json,0
831,testcase_0134_properties.json,0
832,testcase_0159_properties.json,0
833,testcase_0209_properties.json,0
834,testcase_0259_properties.json,0
835,testcase_0309_properties.json,0
836,OptimisticLockFailureException.scala,0
837,CleanerConfig.scala,0
838,LogCleaner.scala,163
839,LogConfig.scala,33
840,OffsetMap.scala,9
841,OffsetCheckpoint.scala,16
842,TestLogCleaning.scala,0
843,CleanerTest.scala,61
844,LogCleanerIntegrationTest.scala,15
845,OffsetMapTest.scala,12
846,StateChangeLogMerger.scala,34
847,kafka-topics.sh,0
848,AdminOperationException.scala,0
849,TopicCommand.scala,137
850,KafkaHealthcheck.scala,0
851,TopicConfigManager.scala,17
852,JsonTest.scala,2
853,IteratorTemplateTest.scala,0
854,NoReplicaOnlineException.scala,0
855,LeaderElectionNotNeededException.scala,0
856,UpdateMetadataRequest.scala,0
857,UpdateMetadataResponse.scala,0
858,ControlledShutdownRequest.scala,0
859,ControlledShutdownResponse.scala,0
860,RollingBounceTest.scala,0
861,InvalidOffsetException.scala,0
862,kafka-add-partitions.sh,0
863,AddPartitionsCommand.scala,0
864,AddPartitionsTest.scala,13
865,ByteArrayPartitioner.scala,0
866,tools-log4j.properties,0
867,Annotations_2.8.scala,0
868,Annotations_2.9+.scala,0
869,.reviewboardrc,0
870,kafka-patch-review.py,0
871,test-log4j.properties,0
872,Os.scala,0
873,KafkaConfigTest.scala,344
874,AdvertiseBrokerTest.scala,3
875,NotAssignedReplicaException.scala,0
876,ReplicaVerificationTool.scala,62
877,LogCleaningAbortedException.scala,0
878,ThreadShutdownException.scala,0
879,LogCleanerManager.scala,111
880,BufferExhaustedException.java,1
881,Callback.java,0
882,DefaultPartitioner.java,6
883,KafkaProducer.java,126
884,MockProducer.java,73
885,Partitioner.java,1
886,ProducerConfig.java,29
887,ProducerRecord.java,41
888,RecordSend.java,0
889,BufferPool.java,40
890,Metadata.java,88
891,ProduceRequestResult.java,13
892,RecordAccumulator.java,152
893,RecordBatch.java,0
894,Sender.java,153
895,ProducerPerformance.java,49
896,ByteSerialization.java,0
